Region_Name,state_name,lat,lng,population,density,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Allen County, IN",Indiana,41.1966,-84.9245,1649,205,2.8,4.1,5,5.3,5.3,5.3,5,4.8,6,10.5,10.7,9.3,8.4,7.5,5.7,4.6,4.3,3.3,3.2
"Allen County, KS",Kansas,37.9165,-95.1715,517,476,4.5,6,5.3,4.9,5.7,5.4,4.2,4.1,4.6,7.8,8.3,8,7.2,6.1,5.1,5.1,5.6,4.9,4
"Allen County, KY",Kentucky,36.7493,-86.1966,4473,301,4.4,6,6.3,6.8,6.5,6.5,6.5,5.8,7,14.4,11.7,9.8,8,7.4,5.9,4.9,4.4,4.1,3.6
"Allen County, OH",Ohio,40.8307,-84.0846,534,744,4.6,5,6.5,6.9,6.8,6.3,6.1,6.3,7.4,11.3,10.7,9.5,7.7,7.8,5.8,4.9,5,5,4.4
"Allendale County, SC",South Carolina,32.9593,-81.2363,1741,202,5.3,6.1,7.1,8.8,9.7,10.6,10.2,10.3,16.5,20.6,19.1,18.4,16.9,14,12.2,11.3,8.5,6.9,6.1
"Alpena County, MI",Michigan,45.074,-83.4399,13597,472,5.7,8,8.6,9.2,8.4,7.6,7.9,8.4,8.8,13.8,13.1,10.8,9.7,9.7,8,6.2,5.9,5.9,5.3
"Alpine County, CA",California,38.8103,-119.8033,291,23,6.8,7.8,8,8.8,8.4,8.4,6.7,8.2,10.9,14.7,13.2,13.1,11.4,9.8,8.2,7.4,6.6,6.3,4.7
"Amador County, CA",California,38.419,-120.8232,190,236,5.2,5.1,5.7,6.1,5.8,5.6,5.3,5.8,7.7,11.4,14.1,13.6,12.3,10.3,8.3,6.6,6,4.9,3.9
"Amelia County, VA",Virginia,37.3366,-77.9882,906,93,2,2.6,3.9,3.9,3.6,3.5,3,2.8,4.5,7.8,8.5,7.5,6.5,5.9,5.3,4.5,4.3,4,3.2
"Amherst County, VA",Virginia,37.4487,-79.1057,11180,225,2.1,3.7,5.5,5,4.6,4.1,3.3,3.5,4.1,7.8,8.1,7.3,6.7,6.1,5.4,4.8,4.4,4.2,3.3
"Amite County, MS",Mississippi,31.1611,-90.8006,680,127,5.3,5.2,6.7,8.5,6.6,8.2,6,6.3,7,10.6,11.9,11.5,10,9.1,8,7.6,7.3,6.6,5.9
"Anderson County, KS",Kansas,38.1818,-95.4905,161,313,4.1,5.2,5.3,5.5,6.3,5.9,4.9,4.7,4.8,7.6,7.7,7.6,6.5,5.8,5.2,4.8,4.3,4,3.5
"Anderson County, KY",Kentucky,38.0331,-84.9031,13439,726,3.4,5,4.9,4.6,4.3,4.8,5.2,5,6.4,10.4,9.6,8.3,6.9,6.5,5.2,4.2,4.1,4.2,3.7
"Anderson County, SC",South Carolina,34.6433,-82.4588,1373,580,3.2,5.4,6.2,7.4,7.2,7.4,6.8,5.8,6.8,12,11.6,10.3,8.9,7.1,6,5.4,4.6,3.9,3.4
"Anderson County, TN",Tennessee,35.9638,-84.2938,29096,131,4.1,4.6,4.7,5.2,4.8,5.2,4.7,4.2,5.8,9.9,9.3,8.8,7.9,7.9,6.8,5.8,4.9,3.9,3.8
"Anderson County, TX",Texas,32.0561,-95.5043,1189,185,6,5.9,7.5,8,6.9,6.3,5.8,5,5.6,8.7,8.1,7.3,6.3,5.8,4.6,3.9,4.3,3.6,3.1
"Andrew County, MO",Missouri,39.8388,-94.8205,2472,244,3.2,4.4,4.9,5,5.2,5.2,4.1,4,4.8,7.7,8.3,6.9,5.4,5.3,5.2,4.2,3.7,3.1,2.7
"Andrews County, TX",Texas,32.2963,-102.5297,1033,242,4.9,4.2,5.5,5.5,4.7,4,3.5,3.2,3.3,7,6.2,5,4,3.8,3,3.5,4.7,3.1,2.5
"Androscoggin County, ME",Maine,44.0086,-70.057,4093,430,3.4,4,4.4,5,4.5,5,4.6,4.6,5.5,8.4,8.6,8.1,7.7,6.7,5.4,4.2,3.6,3.1,3.1
"Angelina County, TX",Texas,31.2345,-94.7665,734,100,4.8,5.4,6.6,6.6,6.4,5.5,4.6,4.4,4.7,8.2,8.5,7.9,6.9,6.5,5.2,5.6,5.9,5.1,4.5
"Anne Arundel County, MD",Maryland,39.1457,-76.7745,8392,616,3,3.4,3.9,3.8,3.7,3.5,3.3,3,3.7,6.4,6.9,6.3,6,5.7,5.1,4.4,3.8,3.6,3.5
"Anoka County, MN",Minnesota,45.0484,-93.2472,20254,2307,2.7,3.5,4.4,4.8,4.5,3.9,3.9,4.5,5.5,8.4,8,6.8,5.9,5,4.2,3.6,3.7,3.3,2.8
"Anson County, NC",North Carolina,34.9645,-80.0746,5255,309,5.2,8.4,9.2,9.5,8.5,7.4,7.5,7.3,8.8,14.8,14.1,12.3,10.9,9.5,7.1,6.5,5.8,5.3,4.5
"Antelope County, NE",Nebraska,42.3377,-97.9718,134,87,2.8,3.1,3.1,3.3,3.3,3.4,2.9,2.9,3,3.7,3.6,3.6,3.3,3.2,2.7,2.6,2.6,2.5,2.5
"Antrim County, MI",Michigan,44.9024,-85.0613,1364,525,4.7,6.6,7.3,8.6,8,7.8,8.1,8.1,9.4,15.3,16,13.3,11.6,11.5,9.6,7.5,7.1,6.7,5.8
"Apache County, AZ",Arizona,36.9221,-109.0753,711,19,9,9.5,11,11.8,11.5,10.5,10,8.8,11.6,15.8,16.4,18.4,19,18.4,15.6,13.3,11.5,10.4,10.1
"Appanoose County, IA",Iowa,40.8017,-92.8871,83,147,4.3,5.2,5.2,5.4,5.5,5.2,5.4,6.8,5.5,8.7,7.3,6.9,6.5,6.4,5.7,4.9,4.7,3.8,3.3
"Appling County, GA",Georgia,31.7642,-82.3508,5578,227,5.4,6.8,7.7,6.7,6.3,6,5.5,5.3,7,10.1,11.9,12.3,11.2,10.7,8.8,7.3,6.4,5.5,4.3
"Appomattox County, VA",Virginia,37.3591,-78.8269,1778,297,2.5,4.3,5.7,5.6,4.6,4.7,3.7,3.9,4.5,7.9,8.6,8,7.4,6.5,5.7,4.9,4.7,4.5,3.7
"Aransas County, TX",Texas,28.167,-97.006,452,108,5.9,6.4,7,7.4,8.2,5.5,4.7,4,4.4,6.8,9.2,8.8,7,6.6,5.5,5.1,5.6,6.7,5.8
"Arapahoe County, CO",Colorado,39.5993,-105.035,1441,543,2.5,3.7,5.6,6.1,5.5,5.1,4.3,3.8,4.9,7.2,8.6,8.3,7.7,6.6,4.9,3.7,3.1,2.8,3.1
"Archer County, TX",Texas,33.5937,-98.6257,1754,308,3.2,3.2,4,4.3,3.7,3.5,3.4,3.2,3.6,5.9,6.7,6.1,5.5,5.2,4.5,4.4,4.3,3.4,3.1
"Archuleta County, CO",Colorado,37.2675,-107.0301,5514,153,3.2,4,5.4,5.8,5.5,5.2,4.1,3.8,5.1,7.5,10.7,10.1,10.1,8.8,6,4,3.3,3,3.3
"Arenac County, MI",Michigan,43.9794,-83.9637,1405,249,5.9,8,9.1,9.9,9.8,9.4,10.3,9.9,10.3,16.7,16.5,14.1,12.8,13,11.1,9,8.3,8.2,7.4
